estimator,mean_estimate,bootstrap_sd,median_signed_error,median_absolute_error,p90_absolute_error,median_estimated_uplift,p10_estimated_uplift,p90_estimated_uplift,reported_interval_contains_gt_rate
INTERPOL-3,1.288986,0.042288,0.029258,0.033219,0.07672,0.030031,-0.013358,0.067733,0.966667
PBM-D,1.315101,0.005545,0.05664,0.05664,0.060635,0.051129,0.04778,0.05495,0.0
